Name,Address,P-nummer,Status,Company Type,Startdate,Enddate
Vibecast ApS,"Martoftevej 10, 2770 Kastrup",1030062201,Aktiv,P-enhed,01.02.2024,
Magda og Dom,"Ølenevej 65, 3720 Aakirkeby",1030122840,Aktiv,P-enhed,22.02.2024,
Baron Bornholm,"Nordre Lyngvej 10, 3782 Klemensker",1029819129,Aktiv,P-enhed,11.11.2023,
Mandalay Is & Cafe,"Gammel Køge Landevej 739, 2660 Brøndby Strand",1030003299,Aktiv,P-enhed,01.01.2024,
SlotsArkaderne Hillerød Candyfloss,"Slotsarkaderne 225, 3400 Hillerød",1030088847,Aktiv,P-enhed,07.02.2024,
TastePoint,"Østfløjen 3, 1. th, 2700 Brønshøj",1029875193,Aktiv,P-enhed,01.01.2024,
Madsens Is-café ApS,"Stenhøjgårdsvej 33B, 3460 Birkerød",1029942109,Aktiv,P-enhed,13.12.2023,
Pops Foodtruck ApS,"Laurits Olsens Vej 1, 2650 Hvidovre",1029844182,Aktiv,P-enhed,19.11.2023,
Manila BBQ and Bao,"Kalvebod Brygge 59, 1560 København V",1030114023,Aktiv,P-enhed,21.03.2024,
Karasan ApS,"Pilegårds Vænge 138, 2635 Ishøj",1029809433,Aktiv,P-enhed,06.11.2023,
ERVA ApS,"Brøndbyvestervej 12C, 2600 Glostrup",1029836252,Aktiv,P-enhed,13.11.2023,
Food Lab.dk,"Magnoliavej 12, st. tv, 2600 Glostrup",1030536211,Aktiv,P-enhed,15.07.2024,
Gyver,"Meinungsgade 14, 1. tv, 2200 København N",1030544826,Aktiv,P-enhed,25.07.2024,
semo.,"Refshalevej 167A, 1432 København K",1030561925,Aktiv,P-enhed,06.08.2024,
Byens Is,"Rønnebærvej 4, 2840 Holte",1030301214,Aktiv,P-enhed,05.05.2024,
El meson canario,"Rågeleje Strandvej 93, 3210 Vejby",1030419878,Aktiv,P-enhed,14.05.2024,
Bob's Kitchen,"Estland Alle 1, 2630 Taastrup",1030370119,Aktiv,P-enhed,01.06.2024,
skolekantine.dk - Aurehøj Gymnasium,"Skolevej 7, st., 2820 Gentofte",1030444031,Aktiv,P-enhed,28.06.2024,
Mr. Fries,"Ulsøparken 37, 3. tv, 2660 Brøndby Strand",1030244296,Aktiv,P-enhed,15.04.2024,
The Odd Room,"Blågårdsgade 15A, 1. th, 2200 København N",1030350584,Aktiv,P-enhed,12.05.2024,
Ice & Fries ApS,"Hellerupvej 1, 4. th, 2900 Hellerup",1025985024,Aktiv,P-enhed,01.07.2020,
Gang Nam-Nam,"Refshalevej 167A, 1432 København K",1025892506,Aktiv,P-enhed,03.06.2020,
Choko Ballerup ApS,"Ballerup-Centret 2, 2750 Ballerup",1025826414,Aktiv,P-enhed,09.05.2020,
Hansens Pop Up,"Roskildevej 36, 2000 Frederiksberg",1026008693,Aktiv,P-enhed,08.07.2020,
Chop Chop Takeaway ApS,"Brøndbyøster Torv 70, 2605 Brøndby",1025837564,Aktiv,P-enhed,15.05.2020,
Skorpen,"Skovvej 33A, st. th, 2820 Gentofte",1025857824,Aktiv,P-enhed,28.11.2019,
Ristorantes Argentinos Streetfood ApS,"Holbergsgade 14, st., 1057 København K",1025734390,Aktiv,P-enhed,01.04.2020,
Everdeen,"Præstegårdsvej 7, 3660 Stenløse",1027607493,Aktiv,P-enhed,05.10.2021,
Philly's Fisketorvet ApS,"Kalvebod Brygge 59, 1560 København V",1025940020,Aktiv,P-enhed,01.01.2020,
Fuego Streetfood REFFEN,"Refshalevej 167A, 1432 København K",1026032160,Aktiv,P-enhed,04.06.2020,
Pastor Tacos Pastor,"Amagerbrogade 134, st., 2300 København S",1026093003,Aktiv,P-enhed,01.04.2020,
Philly's Nørrebrogade ApS,"Nørrebrogade 30, 2200 København N",1026181980,Aktiv,P-enhed,10.07.2020,
sushi daily - magasin du nord,"Kongens Nytorv 13, 1050 København K",1025910148,Aktiv,P-enhed,01.06.2020,
Priya Foods,"Islev Have 49, 2610 Rødovre",1026045750,Aktiv,P-enhed,01.08.2020,
My Beautiful Kitchen,"Refshalevej 167, 1432 København K",1026289234,Aktiv,P-enhed,23.09.2020,
BestBites,"Dronningborgvej 24, 2770 Kastrup",1026294068,Aktiv,P-enhed,23.09.2020,
Cph Gulvservice ApS,"Frederiksborgvej 221, st. 1, 2860 Søborg",1026177126,Aktiv,P-enhed,24.08.2020,
Damhus mad magien,"Jydeholmen 40, 2720 Vanløse",1030413918,Aktiv,P-enhed,05.06.2024,
Spisehjørnet v/Marianne M Schultz,"Industrivænget 14, 3400 Hillerød",1003910590,Aktiv,P-enhed,02.12.1996,
Balkan BBQ,"Langelinie Allé 17, 2100 København Ø",1030255611,Aktiv,P-enhed,11.04.2024,
Inder'n,"Sirgræsvej 4, 2770 Kastrup",1030357546,Aktiv,P-enhed,30.04.2024,
WOK-Kitchen ApS,"Rolfs Plads 6, 4. th, 2000 Frederiksberg",1030519155,Aktiv,P-enhed,01.07.2024,
Allinge Pizza,"Lindeplads 1, kl., 3770 Allinge",1030385337,Aktiv,P-enhed,01.06.2024,
Street Foodie,"Søborg Hovedgade 21, 4. th, 2870 Dyssegård",1030392910,Aktiv,P-enhed,01.06.2024,
Thai Eatery,"Sallingvej 11, 2720 Vanløse",1030295907,Aktiv,P-enhed,01.04.2024,
Pølsevognen V/Frederiksberg Centret,"Falkoner Alle 21, 2000 Frederiksberg",1030430642,Aktiv,P-enhed,11.06.2024,
KjærgaardLagoni I/S,"Tværvej 8, 1., 2880 Bagsværd",1030461203,Aktiv,P-enhed,19.06.2024,
Amigo Pizza ApS,"Strandvejen 130D, 2900 Hellerup",1030559459,Aktiv,P-enhed,30.07.2024,
