neighborhood_id,neighborhood_name,postal_code,postal_area,postal_code_m2,Total,Men,Women
101,København,1050,København K,39053,20,10,10
101,København,1051,København K,55643,399,191,208
101,København,1052,København K,6563,421,204,217
101,København,1053,København K,2434,404,181,223
101,København,1054,København K,4953,392,201,191
101,København,1055,København K,5449,340,165,175
101,København,1056,København K,21601,51,27,24
101,København,1057,København K,11275,300,144,156
101,København,1058,København K,79437,213,103,110
101,København,1059,København K,4897,19,9,10
101,København,1061,København K,7315,10,3,7
101,København,1062,København K,2230,19,7,12
101,København,1063,København K,3465,126,61,65
101,København,1064,København K,984,7,4,3
101,København,1065,København K,2823,25,15,10
101,København,1066,København K,4411,53,26,27
101,København,1067,København K,13995,107,58,49
101,København,1068,København K,577,37,21,16
101,København,1069,København K,7574,40,21,19
101,København,1070,København K,6119,61,33,28
101,København,1071,København K,949,66,33,33
101,København,1072,København K,2374,4,2,2
101,København,1073,København K,1365,6,4,2
101,København,1074,København K,16536,23,13,10
101,København,1100,København K,2165,29,20,9
101,København,1101,København K,7128,80,34,46
101,København,1102,København K,7173,2,1,1
101,København,1103,København K,13060,4,3,1
101,København,1104,København K,6151,86,38,48
101,København,1105,København K,4164,0,0,0
101,København,1106,København K,12192,15,10,5
101,København,1107,København K,3457,98,53,45
101,København,1110,København K,4015,105,53,52
101,København,1111,København K,2896,76,33,43
101,København,1112,København K,22144,175,93,82
101,København,1113,København K,15950,64,33,31
101,København,1114,København K,14937,108,53,55
101,København,1115,København K,1880,35,17,18
101,København,1116,København K,3566,53,25,28
101,København,1117,København K,4329,76,41,35
101,København,1118,København K,7937,8,4,4
101,København,1119,København K,10327,75,41,34
101,København,1123,København K,147000,890,431,459
101,København,1124,København K,10481,157,72,85
101,København,1125,København K,2849,29,15,14
101,København,1126,København K,3811,8,1,7
101,København,1127,København K,5514,82,38,44
101,København,1128,København K,1564,29,11,18
101,København,1129,København K,4048,61,25,36
101,København,1130,København K,6223,115,59,56
101,København,1131,København K,2020,35,19,16
101,København,1150,København K,26616,282,160,122
101,København,1151,København K,6284,100,54,46
101,København,1152,København K,3774,74,45,29
101,København,1153,København K,2684,75,35,40
101,København,1154,København K,7762,121,62,59
101,København,1156,København K,821,23,13,10
101,København,1157,København K,5619,95,52,43
101,København,1158,København K,3417,4,1,3
101,København,1159,København K,9175,335,176,159
101,København,1160,København K,14097,34,15,19
101,København,1161,København K,9113,34,20,14
101,København,1164,København K,9034,45,19,26
101,København,1165,København K,44310,262,141,121
101,København,1166,København K,10113,11,7,4
101,København,1169,København K,7504,297,146,151
101,København,1170,København K,922,15,1,14
101,København,1171,København K,13420,341,158,183
101,København,1172,København K,9179,111,49,62
101,København,1173,København K,5076,161,71,90
101,København,1174,København K,8209,179,87,92
101,København,1175,København K,6538,30,16,14
101,København,1200,København K,8258,55,30,25
101,København,1201,København K,13972,100,49,51
101,København,1202,København K,10414,43,23,20
101,København,1203,København K,4175,65,30,35
101,København,1204,København K,5408,46,22,24
101,København,1205,København K,4123,58,29,29
101,København,1206,København K,1087,34,14,20
101,København,1207,København K,5665,47,22,25
101,København,1208,København K,5025,156,83,73
101,København,1209,København K,11285,152,76,76
101,København,1210,København K,2904,119,51,68
101,København,1211,København K,1621,77,50,27
101,København,1212,København K,16649,0,0,0
101,København,1218,København K,90371,19,12,7
101,København,1219,København K,34293,14,8,6
101,København,1220,København K,40227,119,65,54
101,København,1250,København K,55705,101,57,44
101,København,1251,København K,8851,66,36,30
101,København,1253,København K,98120,656,333,323
101,København,1254,København K,14145,241,120,121
101,København,1255,København K,10492,99,56,43
101,København,1256,København K,48744,412,202,210
101,København,1257,København K,22697,17,8,9
101,København,1259,København K,72700,0,0,0
101,København,1260,København K,119000,370,196,174
101,København,1261,København K,17783,73,33,40
101,København,1263,København K,42201,209,112,97
101,København,1264,København K,2342,1313,660,653
101,København,1265,København K,44597,131,66,65
101,København,1266,København K,10486,85,39,46
101,København,1267,København K,1785,73,34,39
101,København,1268,København K,5633,53,27,26
101,København,1270,København K,39879,133,63,70
101,København,1271,København K,3178,14,8,6
101,København,1300,København K,41481,493,240,253
101,København,1302,København K,17842,946,421,525
101,København,1303,København K,3870,113,54,59
101,København,1304,København K,46392,485,208,277
101,København,1306,København K,26899,648,310,338
101,København,1307,København K,94968,1681,691,990
101,København,1308,København K,19032,295,137,158
101,København,1309,København K,4466,159,64,95
101,København,1310,København K,25275,678,322,356
101,København,1311,København K,13205,390,175,215
101,København,1312,København K,1368,21,9,12
101,København,1313,København K,18194,264,131,133
101,København,1314,København K,6653,97,41,56
101,København,1315,København K,1014,54,24,30
101,København,1316,København K,15935,256,135,121
101,København,1317,København K,8839,37,20,17
101,København,1318,København K,4805,53,25,28
101,København,1319,København K,8319,262,109,153
101,København,1320,København K,7299,83,48,35
101,København,1321,København K,10105,28,20,8
101,København,1322,København K,8155,132,85,47
101,København,1323,København K,7078,29,19,10
101,København,1324,København K,7873,126,80,46
101,København,1325,København K,7131,122,82,40
101,København,1326,København K,5085,48,28,20
101,København,1327,København K,6662,33,17,16
101,København,1328,København K,3836,55,35,20
101,København,1329,København K,7872,23,16,7
101,København,1350,København K,116000,316,132,184
101,København,1352,København K,11000,485,220,265
101,København,1353,København K,144000,86,35,51
101,København,1354,København K,9229,531,244,287
101,København,1355,København K,13978,418,187,231
101,København,1356,København K,13055,159,69,90
101,København,1357,København K,45773,154,72,82
101,København,1358,København K,63509,393,199,194
101,København,1359,København K,15428,245,120,125
101,København,1360,København K,47037,746,350,396
101,København,1361,København K,35900,327,168,159
101,København,1362,København K,19344,379,199,180
101,København,1363,København K,17142,504,261,243
101,København,1364,København K,95799,984,480,504
101,København,1365,København K,3916,211,96,115
101,København,1366,København K,47525,1308,640,668
101,København,1367,København K,3914,363,168,195
101,København,1368,København K,12350,329,158,171
101,København,1369,København K,35359,194,102,92
101,København,1370,København K,77771,762,382,380
101,København,1400,København K,40569,419,215,204
101,København,1401,København K,97238,1026,475,551
101,København,1402,København K,82674,304,154,150
101,København,1403,København K,15766,8,4,4
101,København,1406,København K,4161,42,26,16
101,København,1407,København K,46075,134,64,70
101,København,1408,København K,38507,613,302,311
101,København,1410,København K,1684,29,16,13
101,København,1411,København K,44173,524,280,244
101,København,1412,København K,2873,36,23,13
101,København,1413,København K,4603,88,53,35
101,København,1414,København K,20181,242,119,123
101,København,1415,København K,33157,719,340,379
101,København,1416,København K,15737,473,209,264
101,København,1417,København K,2938,85,38,47
101,København,1418,København K,2218,263,117,146
101,København,1419,København K,5935,19,10,9
101,København,1420,København K,31910,665,303,362
101,København,1421,København K,1648,35,18,17
101,København,1422,København K,63893,852,404,448
101,København,1423,København K,3713,94,44,50
101,København,1424,København K,28942,390,179,211
101,København,1425,København K,4488,266,128,138
101,København,1426,København K,16344,145,71,74
101,København,1427,København K,8075,218,111,107
101,København,1428,København K,5553,458,229,229
101,København,1429,København K,9472,518,222,296
101,København,1430,København K,15209,405,180,225
