Input Name,Input Address,Title,Rating,Reviews,Price Level,Tags
Konditorgården af 2023 ApS,"Pederstrupvej 73, 2750 Ballerup",,,,,", , "
Frankies Pizza Nørrebro,"Sortedam Dossering 3B, 2200 København N",Frankies Pizza Nørrebro,"3,9",553,100-200 kr a persona,"Tutte, prezzi, vino, per aperitivi, valore, , , , , "
Søartilleriet,"Jorisvej 5, 2. 108, 2300 København S",,,,,
Indian Flames,"Griffenfeldsgade 13, 2200 København N",Indian Flames,"4,4",23,,Tutte
Veksø cafe & Restaurant ApS,"Veksø Bygade 13, 3670 Veksø Sjælland",Veksø Pizzeria,"4,0",180,100-200 kr a persona,
Khun Juk ApS,"Nyhavn 63D, 1051 København K",Khun Juk,"4,6",745,,", , , , , , , , , "
NIDA Group I/S,"Esbern Snares Gade 4, 1. tv, 1725 København V",Nida,,,,
Patagonia Grill Nansesgade,"Nansensgade 24, 1366 København K",Patagonia Grill,"4,8",38,400-500 kr a persona,
Poulette DK ApS,"Nørrebrogade 62A, 2. th, 2200 København N",,,,,
AbacoStreetFood,"Tom Kristensens Vej 20, 3. th, 2300 København S",Abaco,"4,9",124,,", , , , , , , , , "
Johnny B,"Belgiensgade 2, 3. tv, 2300 København S",Jonny,"4,7",3,,
Canard á Sans Souci Broens Gadekøkken,"Strandgade 95, 1401 København K",,,,,
Gordons Pub,"Ishøj Østergade 1, 1., 2635 Ishøj",Gordons Pub,"3,9",129,,
Grain And Grapes Pub,"Nordre Frihavnsgade 76, kl. tv, 2100 København Ø",Grain and Grapes Pub,"4,9",17,100-200 kr a persona,
Namaste Fisketorvet,"Kalvebod Brygge 59, 1560 København V",Namaste,"4,4",68,,", , , , , , , , , "
Haegeen Kim,"Wildersgade 49A, 3. th, 1408 København K",,,,,
Mihyun Bae,"Englandsvej 2, 3. th, 2300 København S",,,,,
Vaca NV,"Frederikssundsvej 88A, 2400 København NV",VACA KBH NV,"3,4",21,,
Smash Burgers ApS,"Lygten 2C, 2400 København NV",,,,,
Vindevoghel vikar,"Ærtevej 7, 1. tv, 2700 Brønshøj",,,,,
Poke & Sons,"Sværtegade 8, 1118 København K",Poke & Sons,"4,1",80,,", , , , , , , , , "
Mamma Afrika,"Jagtvej 43, 2200 København N",Mamma Afrika,"4,6",39,,", , "
Sepia Club,"Kokkedal Alle 9, 2970 Hørsholm",Sepia Club,"5,0",7,,
Burger Garage Rødovre,"Gunnekær 60, 2610 Rødovre",Burger Garage,"4,2",35,,
Pico Pizza Brønshøj ApS,"Frederikssundsvej 140A, 2700 Brønshøj",Pico Pizza Brønshøj,"4,7",33,,
Fusion of India ApS,"Banetoften 30, 2750 Ballerup",,,,,
Mish ApS,"Store Kongensgade 18, st., 1264 København K",,,,,
Eden Jaxx Østerbro,"Rosenvængets Allé 3, 2100 København Ø",Eden Jaxx,"4,3",392,,", , , , , , , , , "
Cafe Hippiehut,"Langeliniekaj 5, 2100 København Ø",,,,,
Laura2023 ApS,"Store Kongensgade 110D, 2. th, 1264 København K",,,,,
Sidechick,"Guldbergsgade 7A, 2200 København N",Sidechick,"4,8",213,,", , , , , , , , , "
Viettoppen,"Søborg Hovedgade 169, 3. tv, 2860 Søborg",,,,,
Pizza Pizza Denmark A/S,"Skipper Clements Allé 8, 2300 København S",,,,,
VP Køkken ApS,"Rådhusstien 66, 2610 Rødovre",Køkken Vikaren v/Peter Madsen,,,,
Wok N Tea ApS,"Vejledalen 322, 2635 Ishøj",,,,,
IsBod,"Fiolstræde 4, 1171 København K",,,,,
SushiMania,"Glostrup Shoppingcenter 100, 2600 Glostrup",Sushimania Glostrup,"3,0",14,,
Berlin DÖner House ApS,"Rådhusstræde 7, 1466 København K",,,,,
Bar 1609,"Axeltorv 9, 1609 København V",1609 - Gin & Vinbar,"4,8",24,,
Giztro,"Reberbanegade 3, st. 156, 2300 København S",Giztro Kebab & Falafel,"4,6",180,,", , , , , , "
Kaffe Borup,"Borups Alle 123, st. 1, 2000 Frederiksberg",,,,,
Kaffe2000 ApS,"Borups Alle 123, st. 1, 2000 Frederiksberg",,,,,
Hong8 ApS,"Gyngemose Parkvej 24, 1. th, 2860 Søborg",,,,,
NikMaram Consulting & Trade,"Amager Strandvej 130A, 2300 København S",Nikmaram Law Office,"3,8",13,,
Spisehuset på Kulturværftet,"Allegade 2, 3000 Helsingør",Spisehuset i Kulturværftet,"3,9",371,,", , , , , , , , , "
Gasoline Grill,"Bryggernes Plads 1, 1799 København V",Gasoline Grill - Carlsberg Byen,"4,3",685,,", , , , , , , , , "
Dag H Restaurant & Lounge ApS,"Læderstræde 9, 4., 1201 København K",,,,,
Datoselskabet af 5. marts 2020 ApS,"Kalvebod Brygge 59, 1560 København V",,,,,
From & Co,"Nyhavn 31, 1051 København K",,,,,
Cafe København,"Torvet 4C, st., 3400 Hillerød",KØBENHAVN | Café & Bistro,"3,8",996,,", , , , , , , , , "
MafeGroup ApS,"Hestkøb Vænge 4, 3460 Birkerød",Hestkøbgaard,"4,4",110,,
Restaurant Kaj 2.0 ApS,"Herstedvang 8, 2620 Albertslund",,,,,
Cafe W ApS,"Ebba Lunds Vej 44, 2400 København NV",,,,,
Silberbauer X Melin Vin,"Slagtehusgade 5C, 1715 København V",Spisehuset,"4,5",67,,", , , , "
HeyOkay Esbjerg ApS,"Strandboulevarden 27, 1. tv, 2100 København Ø",,,,,
Hala Hala ApS,"Dronningensgade 42, st. 1, 1420 København K",Halla Halla,"4,6",221,100-200 kr a persona,", , , , , , , , , "
Garbanzo FRB ApS,"Falkoner Alle 82, 2000 Frederiksberg",Garbanzo Frederiksberg,"4,0",104,,", , "
Lynæs Fisk Og Steakhouse ApS,"Lynæs Havnevej 12, 3390 Hundested",Lynæs Fisk & Steakhouse,"4,0",475,,", , "
kURIOSUM ANNO 2020,"Stengade 48F, 3000 Helsingør",Kuriosum anno 2020,"4,6",12,,
Fars Dreng Islands Brygge ApS,"Badstuestræde 18E, st., 1209 København K",,,,,
Frankies Israels Plads,"Linnésgade 14, 1361 København K",Frankies Pizza Israels Plads,"3,4",180,,", , , , , , "
Pandekagehuset Æblehaven,"Hovedgade 15, 3730 Nexø",,,,,
SIMPEL,"Hamborg Plads 6, 2150 Nordhavn",Seoul Koreansk B.B.Q - Nordhavn,"4,5",1.418,,", , , , , , , , , "
CECA FOODS FREDERIKSVÆRK ApS,"Hillerødvej 32, 3300 Frederiksværk",Ceca Foods Hørsholm ApS,,,,
Vegan Power House ApS,"Nordre Frihavnsgade 7, 2100 København Ø",Vegan Power House Aps,"1,0",,,
Ice Cream Parlour,"Gothersgade 3, 1123 København K",,,,,
Iron Wok ApS,"Nordre Frihavnsgade 63, 2100 København Ø",Iron Wok Østerbro,"4,4",70,,", , , , , , "
Louis Burger 1650 ApS,"Istedgade 42B, st., 1650 København V",Louis Burger,"4,1",458,,", , , , , , , , "
Høiers Iscafé,"Høiers Gaard 7, 3770 Allinge",Høiers,"3,9",209,,", "
Ceca Foods - Korsør ApS,"Rungsted Strandvej 201A, 2960 Rungsted Kyst",Ceca Foods Hørsholm ApS,,,,
Christianshavns bistro & Catering,"Kalvebodvej 100, 2791 Dragør",Restauranten Dragør Golfklub,"4,3",42,,
Bådehavnsgade 44D,"Bådehavnsgade 44D, 2450 København SV","Bådehavnsgade 44D, 44d",,,,
Øvre Dæk ApS,"Nyhavn 26, 1051 København K",,,,,
OLIOLI Frederiksberg,"Gammel Kongevej 169, 1850 Frederiksberg C",OLIOLI Frederiksberg - Restaurant & Take away,"4,0",305,,", , , , , , , , "
Kadeau Bornholm,"Baunevej 18, 3720 Aakirkeby",Kadeau Bornholm,"4,5",262,,", , , , , , , , "
Hovedvagtens Spisehuz,"Søndergade 12, 3700 Rønne",,,,,
Dar Atlas ApS,"Bagsværd Hovedgade 172, 2880 Bagsværd",Dar Atlas,"4,3",109,,", , , , , "
Restaurant Katsura ApS,"Frederikssundsvej 308, 2700 Brønshøj",Katsura Sushi,"4,0",313,,", , , "
Cava Food Team ApS,"Marielundvej 20, 2730 Herlev",,,,,
Det Lille Pizzahus,"Finsensvej 37A, 2000 Frederiksberg",Det lille Pizza og Kebabhus,"3,5",159,,
Maui Istedgade,"Istedgade 86, 1650 København V",MAUI,"3,8",110,,", , , , , , , , , "
Ærligt Nørre Voldgade ApS,"Nørre Voldgade 2, st. tv, 1358 København K",ÆRLIGT Nørre Voldgade ApS,"5,0",10,,
TourBurger Boderne,"Boderne 3A, 3720 Aakirkeby",,,,,
Surapur,"Slagtehusgade 11A, 1715 København V",,,,,
