neighborhood_code,neighborhood_name,postal_code,postal_area,postal_code_m2,Total,Men,Women,population_density_km2,restaurant_count
101,København,1050,København K,39053,20,10,10,512.1245486902415,16
101,København,1051,København K,55643,399,191,208,7170.713297270097,28
101,København,1052,København K,6563,421,204,217,64147.49352430291,2
101,København,1053,København K,2434,404,181,223,165981.92276088742,2
101,København,1054,København K,4953,392,201,191,79143.9531597012,1
101,København,1055,København K,5449,340,165,175,62396.77004955038,1
101,København,1056,København K,21601,51,27,24,2361.001805471969,0
101,København,1057,København K,11275,300,144,156,26607.538802660754,4
101,København,1058,København K,79437,213,103,110,2681.370142376978,3
101,København,1059,København K,4897,19,9,10,3879.9264856034306,0
101,København,1061,København K,7315,10,3,7,1367.0539986329459,1
101,København,1062,København K,2230,19,7,12,8520.179372197308,1
101,København,1063,København K,3465,126,61,65,36363.63636363636,0
101,København,1064,København K,984,7,4,3,7113.821138211381,0
101,København,1065,København K,2823,25,15,10,8855.82713425434,0
101,København,1066,København K,4411,53,26,27,12015.416005440944,1
101,København,1067,København K,13995,107,58,49,7645.587709896391,3
101,København,1068,København K,577,37,21,16,64124.78336221837,0
101,København,1069,København K,7574,40,21,19,5281.225244256668,3
101,København,1070,København K,6119,61,33,28,9968.949174701747,3
101,København,1071,København K,949,66,33,33,69546.89146469969,1
101,København,1072,København K,2374,4,2,2,1684.9199663016009,0
101,København,1073,København K,1365,6,4,2,4395.604395604396,1
101,København,1074,København K,16536,23,13,10,1390.9046927914853,3
101,København,1100,København K,2165,29,20,9,13394.919168591225,12
101,København,1101,København K,7128,80,34,46,11223.34455667789,6
101,København,1102,København K,7173,2,1,1,278.82336539802037,0
101,København,1103,København K,13060,4,3,1,306.2787136294028,2
101,København,1104,København K,6151,86,38,48,13981.466428223053,5
101,København,1105,København K,4164,0,0,0,0.0,0
101,København,1106,København K,12192,15,10,5,1230.3149606299212,2
101,København,1107,København K,3457,98,53,45,28348.27885449812,10
101,København,1110,København K,4015,105,53,52,26151.9302615193,2
101,København,1111,København K,2896,76,33,43,26243.093922651933,0
101,København,1112,København K,22144,175,93,82,7902.817919075144,8
101,København,1113,København K,15950,64,33,31,4012.5391849529783,1
101,København,1114,København K,14937,108,53,55,7230.36754368347,0
101,København,1115,København K,1880,35,17,18,18617.021276595744,0
101,København,1116,København K,3566,53,25,28,14862.591138530566,3
101,København,1117,København K,4329,76,41,35,17556.017556017556,3
101,København,1118,København K,7937,8,4,4,1007.9375078745119,4
101,København,1119,København K,10327,75,41,34,7262.515735450761,6
101,København,1123,København K,147000,890,431,459,6054.421768707483,24
101,København,1124,København K,10481,157,72,85,14979.486690201316,1
101,København,1125,København K,2849,29,15,14,10179.01017901018,0
101,København,1126,København K,3811,8,1,7,2099.186565205983,0
101,København,1127,København K,5514,82,38,44,14871.236851650345,2
101,København,1128,København K,1564,29,11,18,18542.19948849105,1
101,København,1129,København K,4048,61,25,36,15069.169960474306,0
101,København,1130,København K,6223,115,59,56,18479.832878033103,2
101,København,1131,København K,2020,35,19,16,17326.732673267325,0
101,København,1150,København K,26616,282,160,122,10595.130748422001,4
101,København,1151,København K,6284,100,54,46,15913.430935709739,3
101,København,1152,København K,3774,74,45,29,19607.843137254902,1
101,København,1153,København K,2684,75,35,40,27943.368107302533,4
101,København,1154,København K,7762,121,62,59,15588.765782014945,14
101,København,1156,København K,821,23,13,10,28014.616321559075,0
101,København,1157,København K,5619,95,52,43,16906.922940024917,2
101,København,1158,København K,3417,4,1,3,1170.617500731636,0
101,København,1159,København K,9175,335,176,159,36512.26158038147,15
101,København,1160,København K,14097,34,15,19,2411.860679577215,2
101,København,1161,København K,9113,34,20,14,3730.9338307911776,3
101,København,1164,København K,9034,45,19,26,4981.182200575603,4
101,København,1165,København K,44310,262,141,121,5912.886481606861,13
101,København,1166,København K,10113,11,7,4,1087.7088895481063,0
101,København,1169,København K,7504,297,146,151,39578.89125799573,1
101,København,1170,København K,922,15,1,14,16268.980477223427,0
101,København,1171,København K,13420,341,158,183,25409.83606557377,19
101,København,1172,København K,9179,111,49,62,12092.8205686894,3
101,København,1173,København K,5076,161,71,90,31717.888100866825,0
101,København,1174,København K,8209,179,87,92,21805.335607260327,4
101,København,1175,København K,6538,30,16,14,4588.5591924135815,4
101,København,1200,København K,8258,55,30,25,6660.20828287721,3
101,København,1201,København K,13972,100,49,51,7157.1714858288005,11
101,København,1202,København K,10414,43,23,20,4129.057038601883,3
101,København,1203,København K,4175,65,30,35,15568.862275449103,3
101,København,1204,København K,5408,46,22,24,8505.917159763314,3
101,København,1205,København K,4123,58,29,29,14067.426631093864,2
101,København,1206,København K,1087,34,14,20,31278.748850045995,0
101,København,1207,København K,5665,47,22,25,8296.557811120918,2
101,København,1208,København K,5025,156,83,73,31044.776119402984,8
101,København,1209,København K,11285,152,76,76,13469.206911829862,3
101,København,1210,København K,2904,119,51,68,40977.96143250689,3
101,København,1211,København K,1621,77,50,27,47501.54225786551,1
101,København,1212,København K,16649,0,0,0,0.0,0
101,København,1218,København K,90371,19,12,7,210.2444368215467,1
101,København,1219,København K,34293,14,8,6,408.2465809348847,1
101,København,1220,København K,40227,119,65,54,2958.212146071047,4
101,København,1250,København K,55705,101,57,44,1813.122699937169,3
101,København,1251,København K,8851,66,36,30,7456.784544119309,0
101,København,1253,København K,98120,656,333,323,6685.690990623726,5
101,København,1254,København K,14145,241,120,121,17037.822552138565,1
101,København,1255,København K,10492,99,56,43,9435.760579489135,4
101,København,1256,København K,48744,412,202,210,8452.322337108157,2
101,København,1257,København K,22697,17,8,9,748.997664889633,0
101,København,1259,København K,72700,0,0,0,0.0,2
101,København,1260,København K,119000,370,196,174,3109.2436974789916,6
101,København,1261,København K,17783,73,33,40,4105.04414328291,2
101,København,1263,København K,42201,209,112,97,4952.489277505272,8
101,København,1264,København K,2342,1313,660,653,560631.9385140905,24
101,København,1265,København K,44597,131,66,65,2937.417315066036,0
101,København,1266,København K,10486,85,39,46,8106.046156780469,0
101,København,1267,København K,1785,73,34,39,40896.358543417366,0
101,København,1268,København K,5633,53,27,26,9408.840759808272,1
101,København,1270,København K,39879,133,63,70,3335.0886431455156,1
101,København,1271,København K,3178,14,8,6,4405.286343612335,0
101,København,1300,København K,41481,493,240,253,11884.959378992793,10
101,København,1302,København K,17842,946,421,525,53020.961775585696,12
101,København,1303,København K,3870,113,54,59,29198.966408268734,2
101,København,1304,København K,46392,485,208,277,10454.388687704775,1
101,København,1306,København K,26899,648,310,338,24090.11487415889,3
101,København,1307,København K,94968,1681,691,990,17700.699182882654,11
101,København,1308,København K,19032,295,137,158,15500.21017234132,1
101,København,1309,København K,4466,159,64,95,35602.32870577698,0
101,København,1310,København K,25275,678,322,356,26824.92581602374,1
101,København,1311,København K,13205,390,175,215,29534.26732298372,0
101,København,1312,København K,1368,21,9,12,15350.877192982456,0
101,København,1313,København K,18194,264,131,133,14510.278113663846,0
101,København,1314,København K,6653,97,41,56,14579.888771982563,0
101,København,1315,København K,1014,54,24,30,53254.43786982249,0
101,København,1316,København K,15935,256,135,121,16065.265139629744,0
101,København,1317,København K,8839,37,20,17,4185.993890711619,0
101,København,1318,København K,4805,53,25,28,11030.176899063476,0
101,København,1319,København K,8319,262,109,153,31494.169972352447,0
101,København,1320,København K,7299,83,48,35,11371.420742567476,0
101,København,1321,København K,10105,28,20,8,2770.90549233053,0
101,København,1322,København K,8155,132,85,47,16186.388718577558,0
101,København,1323,København K,7078,29,19,10,4097.202599604408,0
101,København,1324,København K,7873,126,80,46,16004.064524323638,0
101,København,1325,København K,7131,122,82,40,17108.399943906887,0
101,København,1326,København K,5085,48,28,20,9439.52802359882,0
101,København,1327,København K,6662,33,17,16,4953.467427199039,0
101,København,1328,København K,3836,55,35,20,14337.851929092805,0
101,København,1329,København K,7872,23,16,7,2921.7479674796746,0
101,København,1350,København K,116000,316,132,184,2724.137931034483,3
101,København,1352,København K,11000,485,220,265,44090.909090909096,0
101,København,1353,København K,144000,86,35,51,597.2222222222223,0
101,København,1354,København K,9229,531,244,287,57536.027738649915,0
101,København,1355,København K,13978,418,187,231,29904.13506939476,0
101,København,1356,København K,13055,159,69,90,12179.241669858291,0
101,København,1357,København K,45773,154,72,82,3364.428811744915,0
101,København,1358,København K,63509,393,199,194,6188.099324505189,6
101,København,1359,København K,15428,245,120,125,15880.217785843919,3
101,København,1360,København K,47037,746,350,396,15859.855007759848,16
101,København,1361,København K,35900,327,168,159,9108.635097493036,8
101,København,1362,København K,19344,379,199,180,19592.638544251447,5
101,København,1363,København K,17142,504,261,243,29401.470073503675,5
101,København,1364,København K,95799,984,480,504,10271.505965615508,8
101,København,1365,København K,3916,211,96,115,53881.511746680284,0
101,København,1366,København K,47525,1308,640,668,27522.356654392428,6
101,København,1367,København K,3914,363,168,195,92743.99591211037,0
101,København,1368,København K,12350,329,158,171,26639.676113360325,3
101,København,1369,København K,35359,194,102,92,5486.580502842275,1
101,København,1370,København K,77771,762,382,380,9797.996682568051,0
101,København,1400,København K,40569,419,215,204,10328.083019053956,10
101,København,1401,København K,97238,1026,475,551,10551.43051070569,18
101,København,1402,København K,82674,304,154,150,3677.0931610905486,0
101,København,1403,København K,15766,8,4,4,507.42103260180136,0
101,København,1406,København K,4161,42,26,16,10093.727469358328,1
