Input Name,Input Address,Title,Rating,Reviews,Price Level,Tags,price_level_mapped,price_level_missing,rating_missing,reviews_missing
Konditorgården af 2023 ApS,"Pederstrupvej 73, 2750 Ballerup",,3.5,5.0,,", , ",2.0,True,True,True
Frankies Pizza Nørrebro,"Sortedam Dossering 3B, 2200 København N",Frankies Pizza Nørrebro,3.5,553.0,100-200 kr a persona,"Tutte, prezzi, vino, per aperitivi, valore, , , , , ",1.0,False,True,False
Søartilleriet,"Jorisvej 5, 2. 108, 2300 København S",,3.5,5.0,,,2.0,True,True,True
Indian Flames,"Griffenfeldsgade 13, 2200 København N",Indian Flames,3.5,23.0,,Tutte,2.0,True,True,False
Veksø cafe & Restaurant ApS,"Veksø Bygade 13, 3670 Veksø Sjælland",Veksø Pizzeria,3.5,180.0,100-200 kr a persona,,1.0,False,True,False
Khun Juk ApS,"Nyhavn 63D, 1051 København K",Khun Juk,3.5,745.0,,", , , , , , , , , ",2.0,True,True,False
NIDA Group I/S,"Esbern Snares Gade 4, 1. tv, 1725 København V",Nida,3.5,5.0,,,2.0,True,True,True
Patagonia Grill Nansesgade,"Nansensgade 24, 1366 København K",Patagonia Grill,3.5,38.0,400-500 kr a persona,,3.0,False,True,False
Poulette DK ApS,"Nørrebrogade 62A, 2. th, 2200 København N",,3.5,5.0,,,2.0,True,True,True
AbacoStreetFood,"Tom Kristensens Vej 20, 3. th, 2300 København S",Abaco,3.5,124.0,,", , , , , , , , , ",2.0,True,True,False
Johnny B,"Belgiensgade 2, 3. tv, 2300 København S",Jonny,3.5,3.0,,,2.0,True,True,False
Canard á Sans Souci Broens Gadekøkken,"Strandgade 95, 1401 København K",,3.5,5.0,,,2.0,True,True,True
Gordons Pub,"Ishøj Østergade 1, 1., 2635 Ishøj",Gordons Pub,3.5,129.0,,,2.0,True,True,False
Grain And Grapes Pub,"Nordre Frihavnsgade 76, kl. tv, 2100 København Ø",Grain and Grapes Pub,3.5,17.0,100-200 kr a persona,,1.0,False,True,False
Namaste Fisketorvet,"Kalvebod Brygge 59, 1560 København V",Namaste,3.5,68.0,,", , , , , , , , , ",2.0,True,True,False
Haegeen Kim,"Wildersgade 49A, 3. th, 1408 København K",,3.5,5.0,,,2.0,True,True,True
Mihyun Bae,"Englandsvej 2, 3. th, 2300 København S",,3.5,5.0,,,2.0,True,True,True
Vaca NV,"Frederikssundsvej 88A, 2400 København NV",VACA KBH NV,3.5,21.0,,,2.0,True,True,False
Smash Burgers ApS,"Lygten 2C, 2400 København NV",,3.5,5.0,,,2.0,True,True,True
Vindevoghel vikar,"Ærtevej 7, 1. tv, 2700 Brønshøj",,3.5,5.0,,,2.0,True,True,True
Poke & Sons,"Sværtegade 8, 1118 København K",Poke & Sons,3.5,80.0,,", , , , , , , , , ",2.0,True,True,False
Mamma Afrika,"Jagtvej 43, 2200 København N",Mamma Afrika,3.5,39.0,,", , ",2.0,True,True,False
Sepia Club,"Kokkedal Alle 9, 2970 Hørsholm",Sepia Club,3.5,7.0,,,2.0,True,True,False
Burger Garage Rødovre,"Gunnekær 60, 2610 Rødovre",Burger Garage,3.5,35.0,,,2.0,True,True,False
Pico Pizza Brønshøj ApS,"Frederikssundsvej 140A, 2700 Brønshøj",Pico Pizza Brønshøj,3.5,33.0,,,2.0,True,True,False
Fusion of India ApS,"Banetoften 30, 2750 Ballerup",,3.5,5.0,,,2.0,True,True,True
Mish ApS,"Store Kongensgade 18, st., 1264 København K",,3.5,5.0,,,2.0,True,True,True
Eden Jaxx Østerbro,"Rosenvængets Allé 3, 2100 København Ø",Eden Jaxx,3.5,392.0,,", , , , , , , , , ",2.0,True,True,False
Cafe Hippiehut,"Langeliniekaj 5, 2100 København Ø",,3.5,5.0,,,2.0,True,True,True
Laura2023 ApS,"Store Kongensgade 110D, 2. th, 1264 København K",,3.5,5.0,,,2.0,True,True,True
Sidechick,"Guldbergsgade 7A, 2200 København N",Sidechick,3.5,213.0,,", , , , , , , , , ",2.0,True,True,False
Viettoppen,"Søborg Hovedgade 169, 3. tv, 2860 Søborg",,3.5,5.0,,,2.0,True,True,True
Pizza Pizza Denmark A/S,"Skipper Clements Allé 8, 2300 København S",,3.5,5.0,,,2.0,True,True,True
VP Køkken ApS,"Rådhusstien 66, 2610 Rødovre",Køkken Vikaren v/Peter Madsen,3.5,5.0,,,2.0,True,True,True
Wok N Tea ApS,"Vejledalen 322, 2635 Ishøj",,3.5,5.0,,,2.0,True,True,True
IsBod,"Fiolstræde 4, 1171 København K",,3.5,5.0,,,2.0,True,True,True
SushiMania,"Glostrup Shoppingcenter 100, 2600 Glostrup",Sushimania Glostrup,3.5,14.0,,,2.0,True,True,False
Berlin DÖner House ApS,"Rådhusstræde 7, 1466 København K",,3.5,5.0,,,2.0,True,True,True
Bar 1609,"Axeltorv 9, 1609 København V",1609 - Gin & Vinbar,3.5,24.0,,,2.0,True,True,False
Giztro,"Reberbanegade 3, st. 156, 2300 København S",Giztro Kebab & Falafel,3.5,180.0,,", , , , , , ",2.0,True,True,False
Kaffe Borup,"Borups Alle 123, st. 1, 2000 Frederiksberg",,3.5,5.0,,,2.0,True,True,True
Kaffe2000 ApS,"Borups Alle 123, st. 1, 2000 Frederiksberg",,3.5,5.0,,,2.0,True,True,True
Hong8 ApS,"Gyngemose Parkvej 24, 1. th, 2860 Søborg",,3.5,5.0,,,2.0,True,True,True
NikMaram Consulting & Trade,"Amager Strandvej 130A, 2300 København S",Nikmaram Law Office,3.5,13.0,,,2.0,True,True,False
Spisehuset på Kulturværftet,"Allegade 2, 3000 Helsingør",Spisehuset i Kulturværftet,3.5,371.0,,", , , , , , , , , ",2.0,True,True,False
Gasoline Grill,"Bryggernes Plads 1, 1799 København V",Gasoline Grill - Carlsberg Byen,3.5,685.0,,", , , , , , , , , ",2.0,True,True,False
Dag H Restaurant & Lounge ApS,"Læderstræde 9, 4., 1201 København K",,3.5,5.0,,,2.0,True,True,True
Datoselskabet af 5. marts 2020 ApS,"Kalvebod Brygge 59, 1560 København V",,3.5,5.0,,,2.0,True,True,True
From & Co,"Nyhavn 31, 1051 København K",,3.5,5.0,,,2.0,True,True,True
Cafe København,"Torvet 4C, st., 3400 Hillerød",KØBENHAVN | Café & Bistro,3.5,996.0,,", , , , , , , , , ",2.0,True,True,False
MafeGroup ApS,"Hestkøb Vænge 4, 3460 Birkerød",Hestkøbgaard,3.5,110.0,,,2.0,True,True,False
Restaurant Kaj 2.0 ApS,"Herstedvang 8, 2620 Albertslund",,3.5,5.0,,,2.0,True,True,True
Cafe W ApS,"Ebba Lunds Vej 44, 2400 København NV",,3.5,5.0,,,2.0,True,True,True
Silberbauer X Melin Vin,"Slagtehusgade 5C, 1715 København V",Spisehuset,3.5,67.0,,", , , , ",2.0,True,True,False
HeyOkay Esbjerg ApS,"Strandboulevarden 27, 1. tv, 2100 København Ø",,3.5,5.0,,,2.0,True,True,True
Hala Hala ApS,"Dronningensgade 42, st. 1, 1420 København K",Halla Halla,3.5,221.0,100-200 kr a persona,", , , , , , , , , ",1.0,False,True,False
Garbanzo FRB ApS,"Falkoner Alle 82, 2000 Frederiksberg",Garbanzo Frederiksberg,3.5,104.0,,", , ",2.0,True,True,False
