Name,Address,CVR,Status,Company Type
Naan Stop Kebab ApS,"Vesterbro 39, st. tv, 9000 Aalborg, 44088460, Normal, Anpartsselskab",,,
Leben Aalborg ApS,"C/O Maria Kim Hartmann Adkins, Østre Havnegade 26, 9000 Aalborg, 43537032, Normal, Anpartsselskab",,,
Torcilova-Boldt ApS,"C/O Hans Otto Boldt, Hassel Alle 6, 1., 9000 Aalborg, 43581473, Normal, Anpartsselskab",,,
Trav Caféen ApS,"Skydebanevej 25, 9000 Aalborg, 43706640, Normal, Anpartsselskab",,,
Restaurationsselskabet Adelgade 12 ApS,"Adelgade 12, 9000 Aalborg, 43717979, Normal, Anpartsselskab",,,
Istanbul Kebab ApS,"Østerågade 2, 9000 Aalborg, 40881557, Normal, Anpartsselskab",,,
Jernkroen ApS,"Strandgade 10, 9240 Nibe, 39903490, Normal, Anpartsselskab",,,
Menendez ApS,"Ved Stranden 7C, 9000 Aalborg, 40035486, Normal, Anpartsselskab",,,
Struktur ApS,"Vesterå 4, st. th, 9000 Aalborg, 40233598, Normal, Anpartsselskab",,,
Den Bette Kro ApS,"Kaolinvej 8, 9220 Aalborg Øst, 38857258, Normal, Anpartsselskab",,,
CAFÉ PEACE ApS,"Boulevarden 4, 9000 Aalborg, 32441351, Normal, Anpartsselskab",,,
Aktuel Aalborg ApS,"Budolfi Plads 4, 9000 Aalborg, 37951064, Normal, Anpartsselskab",,,
Bach & Nurup ApS,"Budolfi Plads 32, 9000 Aalborg, 44709570, Normal, Anpartsselskab",,,
AK ApS,"Viaduktvej 2, 9400 Nørresundby, 44958767, Normal, Anpartsselskab",,,
DUCK IT ÅLBORG ApS,"Skudehavnsvej 35, 9000 Aalborg, 38591843, Normal, Anpartsselskab",,,
Yummy Pasta ApS,"Bispensgade 27B, st., 9000 Aalborg, 45476588, Normal, Anpartsselskab",,,
Restaurant VB ApS,"Bådehavnsvej 6, 9000 Aalborg, 41456957, Normal, Anpartsselskab",,,
VODSKOV KRO ApS,"Smedepladsen 3, 9310 Vodskov, 33599730, Normal, Anpartsselskab",,,
ULLA T ApS,"Kastetvej 36, 9000 Aalborg, 33649010, Normal, Anpartsselskab",,,
CAFÉ VESTERAA A/S,"Vesterå 4, 9000 Aalborg, 27109098, Normal, Aktieselskab",,,
AZZURRA ApS,"Jens Bangs Gade 15 - 19, 9000 Aalborg, 13696640, Normal, Anpartsselskab",,,
Nam Food ApS,"Vesterbro 76, 9000 Aalborg, 37748935, Normal, Anpartsselskab",,,
Skalborg Kro ApS,"Hobrovej 515, 9200 Aalborg SV, 26819326, Normal, Anpartsselskab",,,
Wildebeest Aalborg ApS,"Østerbro 12, st. tv, 9000 Aalborg, 37609935, Normal, Anpartsselskab",,,
Partnerselskabet af 22.01.2008,"C/O MA-ejendomme, Østerågade 27, 2., 9000 Aalborg, 31256453, Normal, Kommanditaktieselskab/Partnerselskab",,,
Tian Fu ApS,"Vandmanden 5B, 9200 Aalborg SV, 39879182, Normal, Anpartsselskab",,,
Pizzeria Amici ApS,"Peder Skrams Gade 9, st. th, 9000 Aalborg, 41543027, Normal, Anpartsselskab",,,
Yoshi Sushi ApS,"Mølleparkvej 1, 9000 Aalborg, 39049511, Normal, Anpartsselskab",,,
Holy Cows ApS,"C/O Ceraco A/S, Nordvestvej 31, 9000 Aalborg, 36996382, Normal, Anpartsselskab",,,
Restaurant Mhanna ApS,"Kastetvej 67, 9000 Aalborg, 41247134, Normal, Anpartsselskab",,,
Nørregade 25 ApS,"Ved Kroen 8, 9260 Gistrup, 44968657, Normal, Anpartsselskab",,,
DTS Aalborg ApS,"Kaolinvej 8, 9220 Aalborg Øst, 44370778, Normal, Anpartsselskab",,,
Budd ApS,"Kastetvej 52, 9000 Aalborg, 39621320, Normal, Anpartsselskab",,,
Sushi Fest ApS,"Amalienborgvej 10, 9400 Nørresundby, 40145397, Normal, Anpartsselskab",,,
Alleys ApS,"Vesterå 17, st., 9000 Aalborg, 43216090, Normal, Anpartsselskab",,,
Berlin Döner Aalborg ApS,"Reberbansgade 13B, st., 9000 Aalborg, 43282689, Normal, Anpartsselskab",,,
Hyttens Aalborg ApS,"Boulevarden 7, st. th, 9000 Aalborg, 41221321, Normal, Anpartsselskab",,,
Safai Invest ApS,"C/O Jonas Safai, Loftbrovej 6, 9400 Nørresundby, 43766686, Normal, Anpartsselskab",,,
Gæstgivergaarden Gandrup A/S,"Stationsvej 9, st., 9362 Gandrup, 40582223, Normal, Aktieselskab",,,
Pastotto ApS,"Skudehavnsvej 35, 9000 Aalborg, 38212850, Normal, Anpartsselskab",,,
Chop'N Wok Aalborg ApS,"Reberbansgade 12A, 9000 Aalborg, 44304198, Normal, Anpartsselskab",,,
Casa Maria Dining ApS,"Loftbrovej 28, 9400 Nørresundby, 45116069, Normal, Anpartsselskab",,,
Al Zukimi ApS,"Prinsensgade 42, 9000 Aalborg, 44788861, Normal, Anpartsselskab",,,
Aspendos Hals ApS,"Havnen 16, 9370 Hals, 45414671, Normal, Anpartsselskab",,,
Kings Running Sushi & Buffet Aalborg ApS,"Østerbro 3A, st., 9000 Aalborg, 37202835, Normal, Anpartsselskab",,,
PINGVIN ApS,"Stjernepladsen 3C, 9000 Aalborg, 29154589, Normal, Anpartsselskab",,,
Sizzlers Steak House ApS,"Jasminparken 80, 9260 Gistrup, 31277426, Normal, Anpartsselskab",,,
"Restaurationsselskabet Algade 55, Aalborg ApS","C/O Xuan Thanh Ngo, Østre Havnegade 48, 1. tv, 9000 Aalborg, 37756482, Normal, Anpartsselskab",,,
Gl. Aalborg ApS,"Vingårdsgade 32, 9000 Aalborg, 37790842, Normal, Anpartsselskab",,,
SMAEK ApS,"Ved Stranden 4, 9000 Aalborg, 40539409, Normal, Anpartsselskab",,,
Le Garcon ApS,"Ved Stranden 5, 9000 Aalborg, 39571749, Normal, Anpartsselskab",,,
RESTAURANT FUSION A/S,"Strandvejen 4, st. tv, 9000 Aalborg, 31769809, Normal, Aktieselskab",,,
RESTAURANT MEAT ApS,"Vesterå 1, 9000 Aalborg, 34591113, Normal, Anpartsselskab",,,
CAFE SPIRET AALBORG ApS,"Boulevarden 24, st., 9000 Aalborg, 33748469, Normal, Anpartsselskab",,,
Koch`ens Køkken ApS,"Reberbansgade 11B, st. tv, 9000 Aalborg, 41117079, Normal, Anpartsselskab",,,
Yan ApS,"Vivaldisvej 250, 9200 Aalborg SV, 43911171, Normal, Anpartsselskab",,,
Marmaris Pizzeria ApS,"Tornhøjvej 4C, 9220 Aalborg Øst, 45187764, Normal, Anpartsselskab",,,
Caféen i Nørregade ApS,"Rendsburggade 2, st., 9000 Aalborg, 44615134, Normal, Anpartsselskab",,,
DL Fried Chicken Aalborg ApS,"Nytorv 27, 9000 Aalborg, 44782448, Normal, Anpartsselskab",,,
Sushidot ApS,"Reberbansgade 13B, st., 9000 Aalborg, 45174182, Normal, Anpartsselskab",,,
Ris Invest A/S,"Østerbro 33A, st., 9000 Aalborg, 45405397, Normal, Aktieselskab",,,
Indian Restaurant Aalborg ApS,"Reberbansgade 16B, st. tv, 9000 Aalborg, 40092315, Normal, Anpartsselskab",,,
Jackpot Bar Nørresundby ApS,"Østergade 59, 9400 Nørresundby, 42716065, Normal, Anpartsselskab",,,
Fumo ApS,"Godsbanen 20, 9000 Aalborg, 42974668, Normal, Anpartsselskab",,,
JAG27 ApS,"Boulevarden 28, 9000 Aalborg, 43264079, Normal, Anpartsselskab",,,
VOLPI A/S,"Vesterbro 46, st., Postboks 1536, 9000 Aalborg, 87237028, Normal, Aktieselskab",,,
Mustafa & Gøkmen ApS,"Hobrovej 96, st., 9000 Aalborg, 43070886, Normal, Anpartsselskab",,,
MRPR ApS,"C.W. Obels Plads 14, 2., 9000 Aalborg, 30511557, Normal, Anpartsselskab",,,
KSV INVEST ApS,"Langesgade 5, 9000 Aalborg, 26413931, Normal, Anpartsselskab",,,
KJ DEVELOPMENT ApS,"Klarupvej 52, 9270 Klarup, 26822327, Normal, Anpartsselskab",,,
WIZARD 99. NØRRESUNDBY ApS,"C/O Provence, Ved Stranden 11E, 9000 Aalborg, 21800570, Normal, Anpartsselskab",,,
Catch Sushi Bar & Cocktails Aps,"Vesterå 14, 9000 Aalborg, 41605235, Normal, Anpartsselskab",,,
Fætter V ApS,"Hadsundvej 18A, st., 9000 Aalborg, 40799826, Normal, Anpartsselskab",,,
Helmuth ApS,"Boulevarden 28, 9000 Aalborg, 43526553, Normal, Anpartsselskab",,,
Mik Mik Thai Food ApS,"Reberbansgade 5, st. th, 9000 Aalborg, 43017705, Normal, Anpartsselskab",,,
Sorrentos ApS,"Torvet 2, 9370 Hals, 43023810, Normal, Anpartsselskab",,,
Aalborg BB ApS,"Vesterbro 68A, 9000 Aalborg, 43349325, Normal, Anpartsselskab",,,
Restaurant Emil ApS,"Vesterbro 65, st. th, 9000 Aalborg, 43286080, Normal, Anpartsselskab",,,
Alimentum A/S,"Løkkegade 23, 9000 Aalborg, 40070567, Normal, Aktieselskab",,,
Kaffé Fair ApS,"Strandvejen 19, 9000 Aalborg, 37296961, Normal, Anpartsselskab",,,
Restaurant Fauna ApS,"Musikkens Plads 1, 9000 Aalborg, 37396478, Normal, Anpartsselskab",,,
Hjemve ApS,"Algade 57, 9000 Aalborg, 44602369, Normal, Anpartsselskab",,,
