Name,Address,P-nummer,Status,Company Type,Startdate,Enddate
Mazaco ApS,"Stubkaj 7A, 2150 Nordhavn",1029809808,Aktiv,P-enhed,30.10.2023,
Baren Herning ApS,"Skindergade 7, 1159 København K",1016274719,Aktiv,P-enhed,31.08.2010,
Natcafeen kbh ApS,"Jonstrup, 3500 Værløse",1029950985,Aktiv,P-enhed,27.12.2023,
csv 2015 aps,"Skotlandsgade 13, st. tv, 2300 København S",1029969732,Aktiv,P-enhed,01.01.2024,
ØLHAVEN ApS,"Istedgade 24, 1650 København V",1029929161,Aktiv,P-enhed,18.12.2023,
Kontor,"Store Regnegade 26C, 4. th, 1110 København K",1029904185,Aktiv,P-enhed,11.12.2023,
Den Marinerede Sild,"Lille Torv 5, 3700 Rønne",1030156605,Aktiv,P-enhed,05.03.2024,
Bardynastiet,"Else Alfelts Vej 70C, 1. tv, 2300 København S",1030231712,Aktiv,P-enhed,18.03.2024,
Pompette - Fælledvej 12,"Fælledvej 12, 2200 København N",1030255743,Aktiv,P-enhed,12.04.2024,
IS ApS,"Elmegade 30, 2200 København N",1030300056,Aktiv,P-enhed,24.04.2024,
Mimers Bodega ApS,"Thorsgade 70, 2200 København N",1031018486,Aktiv,P-enhed,14.01.2025,
SWM Services ApS,"Refshalevej 151, 1432 København K",1026519957,Aktiv,P-enhed,26.11.2020,
Velour Cph ApS,"Amager Landevej 233, 2770 Kastrup",1031071883,Aktiv,P-enhed,10.02.2025,
Cafe Valdemar,"Sudergade 23C, 3000 Helsingør",1028563015,Aktiv,P-enhed,12.09.2022,
Y's v/Yvonne Kubach,"Nørre Voldgade 102, 1358 København K",1001073612,Aktiv,P-enhed,01.09.1992,
RÅDMAND DAVIDS HUS,"Strandgade 70, 3000 Helsingør",1001224191,Aktiv,P-enhed,15.08.1993,
VALHØJ BODEGA V/TINA RAMSTEDT,"Valhøjs Alle 67 g, 2610 Rødovre",1000760616,Aktiv,P-enhed,01.10.1990,
KØBENHAVNERN V/HEIDI KOCH,"Sct Anna Gade 15, 3000 Helsingør",1001211794,Aktiv,P-enhed,01.07.1993,
Two Socks Gothersgade,"Gothersgade 87, 1123 København K",1022098019,Aktiv,P-enhed,16.01.2017,
Gudhjem Bakke,"Brøddegade 1, 3760 Gudhjem",1022439525,Aktiv,P-enhed,14.05.2017,
Flottenhejmer Gilleleje ApS,"Vesterbrogade 40B, 3250 Gilleleje",1030553744,Aktiv,P-enhed,29.07.2024,
Bar Poldo,"Lille Kongensgade 6, st., 1074 København K",1027879116,Aktiv,P-enhed,,
Café Haraldsborg ApS,"Islands Brygge 15, 2300 København S",1031006860,Aktiv,P-enhed,,
Coffice,"Holmbladsgade 71, 2300 København S",1027886538,Aktiv,P-enhed,01.01.2022,
Foreningen studenterhuset Sigurds Bar,"Sigurdsgade 36, 2200 København N",1027859999,Aktiv,P-enhed,15.12.2021,
Cafe Bageriet ApS,"Haraldsgade 44, 2100 København Ø",1027926041,Aktiv,P-enhed,11.01.2022,
Madvig Pub & Lounge,"Postgade 25, 3740 Svaneke",1030603423,Aktiv,P-enhed,01.08.2024,
Diskotek Hightech,"Folesletten 10, 2950 Vedbæk",1030650677,Aktiv,P-enhed,09.09.2024,
Mikkellerbar Årsdale,"Laksegade 3, 3740 Svaneke",1030682021,Aktiv,P-enhed,01.09.2024,
Græsted bodega,"Græsted Hovedgade 5A, 3230 Græsted",1030684806,Aktiv,P-enhed,01.08.2024,
Caféen 90 Aps,"Amaliegade 22, 1., 1256 København K",1030446344,Aktiv,P-enhed,14.06.2024,
L'arret ApS,"Lindegårdsvej 41, st., 2920 Charlottenlund",1030542661,Aktiv,P-enhed,22.07.2024,
IMPACT ROASTERS (Griffenfeldsgade),"Griffenfeldsgade 4C, 2200 København N",1030456412,Aktiv,P-enhed,20.07.2024,
The Sip Station,"Ørestads Boulevard 55C, 2300 København S",1030391485,Aktiv,P-enhed,01.05.2024,
Dion & Dart ApS,"Falkoner Alle 12A, 2000 Frederiksberg",1031151054,Aktiv,P-enhed,12.03.2025,
Cafe Rosa,"Kongensgade 34, 3550 Slangerup",1030495264,Aktiv,P-enhed,01.07.2024,
Bæst Bar ApS,"Klosterstræde 23, 1157 København K",1017757292,Aktiv,P-enhed,25.06.2012,
El Dorado Bar ApS,"Nørregade 6, 1165 København K",1022069779,Aktiv,P-enhed,05.01.2017,
WaterSights ApS,"Flintemarken 41, st. th, 2950 Vedbæk",1024487551,Aktiv,P-enhed,08.03.2019,
Bartender Danmark ApS,"Amalie Skrams Allé 32, 2500 Valby",1022277592,Aktiv,P-enhed,15.03.2017,
Bungalow Bar,"Hovedgaden 48, 3220 Tisvildeleje",1030408744,Aktiv,P-enhed,20.06.2024,
Beaver'Z Coffee I/S,"Solbjærget 1, 3460 Birkerød",1030236706,Aktiv,P-enhed,04.04.2024,
Frederik 7 Tal,"Hovedgaden 24, 3630 Jægerspris",1030030210,Aktiv,P-enhed,13.02.2023,
Café Blue,"Havnen 4B, 3730 Nexø",1030225925,Aktiv,P-enhed,02.04.2024,
Den Marinerede Sild,"Lille Torv 5, 3700 Rønne",1030156591,Aktiv,P-enhed,05.03.2024,
come n chill,"Amagerbrogade 140, st. th, 2300 København S",1030127974,Aktiv,P-enhed,14.03.2024,
Aloe by CocktailCompany,"Knabrostræde 5, st. tv, 1210 København K",1030101584,Aktiv,P-enhed,14.02.2024,
Bar Sportif ApS,"Gammel Mønt 33, 1117 København K",1030563839,Aktiv,P-enhed,06.08.2024,
Kakadu Bar,"Colbjørnsensgade 6A, 1652 København V",1006416544,Aktiv,P-enhed,01.11.1991,
Spar 5 v/Jesper L. Henriksen,"Havnegade 13, 3600 Frederikssund",1007217508,Aktiv,P-enhed,01.01.2000,
Viggo's Værtshus,"Skindergade 7, 1159 København K",1007796974,Aktiv,P-enhed,29.06.2000,
VAA HOLDING A/S,"Amagertorv 1, 1160 København K",1007941796,Aktiv,P-enhed,15.09.2000,
"Emajoka, Café & kunsthåndværk","Havnen 8, 3790 Hasle",1014919526,Aktiv,P-enhed,01.10.2008,
Heidi´s Bier Bar,"Skindergade 7, 1159 København K",1014914133,Aktiv,P-enhed,25.11.2008,
Købenkaffe v/Christian Bo Aagerup Armstrong,"Vesterfælledvej 2, st. tv, 1750 København V",1015584153,Aktiv,P-enhed,12.10.2009,
EP DRIFT ApS,"Jernbanegade 1, 3720 Aakirkeby",1015610367,Aktiv,P-enhed,27.10.2009,
Kings Hat ApS,"Nørgaardsvej 1, kl., 2800 Kgs.Lyngby",1015941126,Aktiv,P-enhed,26.03.2010,
Baba Ghanouj v/Faiz Fathi Zeidan,"Mikkel Bryggers Gade 5A, kl., 1460 København K",1015540970,Aktiv,P-enhed,15.10.2009,
BODEGA 7 SIND ApS,"Kornmarken 52, 2880 Bagsværd",1016192054,Aktiv,P-enhed,11.07.2010,
Kælder Caféen Nybro,"Nybrovej 304, 2800 Kongens Lyngby",1016269979,Aktiv,P-enhed,01.08.2010,
JSG AF 1/8 2010 ApS,"Havremarken 7, 3520 Farum",1016273747,Aktiv,P-enhed,17.08.2010,
Cafe Cadeau,"H.C. Ørsteds Vej 28, 1879 Frederiksberg C",1016841273,Aktiv,P-enhed,06.05.2011,
Kulturforening CB,"Kronprinsessegade 54A, st., 1306 København K",1016919329,Aktiv,P-enhed,10.06.2011,
Favorim Cafe Restaurant ApS,"Høje Taastrup, 2630 Taastrup",1017163430,Aktiv,P-enhed,29.09.2011,
"Henrik Ravn, Christian Cebollero & Michael Thiberg I/S","Helgolandsgade 2, 1653 København V",1016810750,Aktiv,P-enhed,01.12.2010,
BFP Aalborg ApS,"Skindergade 7, 1159 København K",1017564664,Aktiv,P-enhed,22.03.2012,
VINSTUEN 29 ApS,"Strandbakken 9, 3310 Ølsted",1017388076,Aktiv,P-enhed,05.01.2012,
Cocktail Bar 1656 ApS,"Gasværksvej 33, 1656 København V",1031103475,Aktiv,P-enhed,25.02.2025,
Glostrup Bodega,"Nyvej 3, 2600 Glostrup",1029694415,Aktiv,P-enhed,26.07.2023,
Daisys butik,"Istedgade 44, kl., 1650 København V",1029462751,Aktiv,P-enhed,01.08.2023,
Green Sandwich & Smoothie ApS,"Englandsvej 6, st. tv, 2300 København S",1029463324,Aktiv,P-enhed,,
Scotch Pub ApS,"Brøndbyvestervej 12, 2600 Glostrup",1029394896,Aktiv,P-enhed,,
