Name,Address,P-nummer,Status,Company Type,Startdate,Enddate
Little House Strandlodsvej ApS,"Strandlodsvej 5, 2300 København S",1027556767,Ophørt,P-enhed,22.03.2021,07.01.2025
Ny kongens ApS,"Blegdamsvej 126, 1. tv, 2100 København Ø",1024081547,Ophørt,P-enhed,,
BlendBite,"Rosenørns Alle 34, 1970 Frederiksberg C",1029691440,Ophørt,P-enhed,,
Wild Horses Vesterbro,"Sønder Boulevard 41, st. th, 1720 København V",1030017850,Ophørt,P-enhed,01.01.2024,01.01.2025
Cafe Pingo,"Jernbanegade 12, 3480 Fredensborg",1030649601,Ophørt,P-enhed,02.09.2024,25.02.2025
Pure Greens Club Østerbro,"Nordre Frihavnsgade 19, kl. th, 2100 København Ø",1028361633,Ophørt,P-enhed,01.06.2022,18.02.2025
Glitterbar,"Ringager 4, 1., 2605 Brøndby",1028249795,Ophørt,P-enhed,01.01.2022,13.03.2025
D - Palace Club,"Ørnevej 33, 2400 København NV",1030555542,Ophørt,P-enhed,18.07.2024,13.03.2025
Havnehytten Invest ApS,"Rustenborgvej 21, 2800 Kongens Lyngby",1029073313,Ophørt,P-enhed,22.02.2023,14.02.2025
Crepe CPH,"Nørrebrogade 185, 2200 København N",1026314603,Ophørt,P-enhed,30.09.2020,16.03.2025
GAG CPH,"Vesterbrogade 2B, 1620 København V",1029462174,Ophørt,P-enhed,01.08.2023,13.02.2025
6 CPH,"Kattesundet 6, 1458 København K",1029278187,Ophørt,P-enhed,17.05.2023,13.02.2025
Selskabet af 1/11 2021 Nexø ApS,"Brogade 9, 3730 Nexø",1027676061,Ophørt,P-enhed,21.10.2021,27.02.2025
Pure Greens Club Pilestræde,"Pilestræde 32A, st., 1112 København K",1028665454,Ophørt,P-enhed,17.10.2022,18.02.2025
Syssers,"Bistruplund 19, st. th, 3460 Birkerød",1026331931,Ophørt,P-enhed,01.10.2020,05.03.2025
Den Gyldne Hane v/Kasper Lyster,"Stormgade 5, 3730 Nexø",1029343906,Ophørt,P-enhed,12.05.2023,14.03.2025
Kaffekilden,"Tapperitorvet 36, 1799 København V",1028565883,Ophørt,P-enhed,12.09.2022,27.02.2025
Trixie,"Studiestræde 5, 1455 København K",1029873514,Ophørt,P-enhed,29.11.2023,28.03.2025
Pillen,"M D Madsensvej 12, 3450 Allerød",1029032005,Ophørt,P-enhed,01.02.2023,02.02.2025
Ny Kongens ApS,"Ny Adelgade 3, st. th, 1104 København K",1024150093,Ophørt,P-enhed,29.10.2018,31.01.2025
CGC GOLF-CAFE' ApS,"Golfsvinget 16, 2625 Vallensbæk",1029714955,Ophørt,P-enhed,,
GAG,"Axeltorv 5, 1609 København V",1030540405,Ophørt,P-enhed,,
jinhuse,"Bramstræde 1C, 3000 Helsingør",1028459145,Ophørt,P-enhed,,
HappyCoffeePit,"Hyltebjerg Allé 40B, 1. th, 2720 Vanløse",1025827704,Ophørt,P-enhed,15.05.2020,31.01.2025
Sweet House ApS,"Taastrup Torv 12, 2630 Taastrup",1021306327,Ophørt,P-enhed,31.03.2016,05.02.2025
"Dana Chai shop, Torvehallerne Kbh, stadeplads nr. PA11","Linnésgade 17, 1361 København K",1021504773,Ophørt,P-enhed,01.06.2016,06.02.2025
PETERSEN & CO. ApS,"Diget 48, st., 2600 Glostrup",1015364935,Ophørt,P-enhed,01.07.2009,28.03.2025
CAPP Ent. Skælskør ApS,"Ordrupvej 67C, 2. tv, 2920 Charlottenlund",1025514315,Ophørt,P-enhed,,
Salonen v/Peter Lek Johansen,"Knabrostræde 9, 1. th, 1210 København K",1017058254,Ophørt,P-enhed,,
Little House Strandlodsvej ApS,"Viborggade 70B, st., 2100 København Ø",1025837785,Ophørt,P-enhed,15.05.2020,07.01.2025
Kaf I/S,"Søtofteparken 16, 3660 Stenløse",1030293165,Ophørt,P-enhed,01.05.2024,25.02.2025
Radical Entertainment ApS,"Havneholmen 48, 1. th, 1561 København V",1028862438,Ophørt,P-enhed,20.12.2022,13.02.2025
Das Disco,"Ringager 4A, 1. th, 2605 Brøndby",1028053904,Ophørt,P-enhed,01.03.2022,13.03.2025
MADVIG - pub & lounge,"Postgade 25, 3740 Svaneke",1022238708,Ophørt,P-enhed,01.04.2017,06.03.2025
CAFÉ MIG OG ANNIE ApS,"Aurehøjvej 1, 4. tv, 2900 Hellerup",1010737679,Ophørt,P-enhed,20.08.2004,19.03.2025
EC Handel ApS,"Tårnvej 241, 2610 Rødovre",1024726564,Ophørt,P-enhed,12.04.2019,07.02.2025
