Name,Address,P-nummer,Status,Company Type,Startdate,Enddate
Thomsens service v k thomsen,"Lammeengen 35, 2765 Smørum",1030806162,Ophørt,P-enhed,04.11.2024,14.02.2025
Finn Inn v/Finn Embøl Hansen,"Taastrup Hovedgade 77, 2630 Taastrup",1011777593,Ophørt,P-enhed,,
Beertunes,"Gammel Køge Landevej 40, 3. 332, 2500 Valby",1028096859,Ophørt,P-enhed,,
MariaElla Lounge,"Skovledet 103A, 2. th, 3400 Hillerød",1030747425,Ophørt,P-enhed,,
partypølen,"Scandiagade 74, 1. tv, 2450 København SV",1029920806,Ophørt,P-enhed,01.01.2024,17.01.2025
Peders ApS,"Sankt Peders Stræde 31, kl., 1453 København K",1025849988,Ophørt,P-enhed,01.01.2020,14.01.2025
BD/CC,"Hf. Engly 46, 2300 København S",1027397685,Ophørt,P-enhed,01.08.2021,16.02.2025
Little House Pakkerivej ApS,"Viborggade 70B, st., 2100 København Ø",1026260678,Ophørt,P-enhed,11.09.2020,07.01.2025
Little House Pakkerivej ApS,"Pakkerivej 1, 2500 Valby",1027556775,Ophørt,P-enhed,22.03.2021,07.01.2025
Carol's Kaffe,"Egedalsvænge 9, 3. tv, 2980 Kokkedal",1025168956,Ophørt,P-enhed,23.10.2019,13.03.2025
Jiahe ApS,"Helsingørsgade 15, st. tv, 3400 Hillerød",1027232600,Ophørt,P-enhed,25.05.2021,04.02.2025
Garage,"Heimdalsgade 42, 2200 København N",1026105982,Ophørt,P-enhed,01.07.2020,13.03.2025
Kaffeiin,"Frederikssundsvej 299, st. th, 2700 Brønshøj",1029906374,Ophørt,P-enhed,,
Espresso House - Amagerbrogade,"Amagerbrogade 51, 2300 København S",1013128681,Ophørt,P-enhed,,
Peders ApS,"Østerdalsgade 1B, 5., 2300 København S",1021603267,Ophørt,P-enhed,11.07.2016,14.01.2025
Café Domhuset,"Hospitalsvej 5, 2000 Frederiksberg",1030347559,Ophørt,P-enhed,,
